제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
프랑켄슈타인,Frankenstein,(1931),,"[('Naver Store', ['₩1,800', 'HD'])]","['83%', '7.8 (69k)']","['공포 , SF , 스릴러 , 로맨스 , 드라마']",['1시간 11분'],['James Whale'],"['Colin Clive', 'Mae Clarke', 'John Boles', 'Boris Karloff', 'Edward Van Sloan', 'Frederick Kerr', 'Dwight Frye', 'Lionel Belmore', 'Marilyn Harris', 'Ted Billings', 'Mae Bruce', 'Jack Curtis', 'Arletta Duncan', 'William Dyer', 'Francis Ford', 'Soledad Jiménez', 'Carmencita Johnson', 'Sessel Anne Johnson', 'Margaret Mann', 'Michael Mark', 'Pauline Moore', 'Inez Palange', 'Paul Panzer', 'Cecilia Parker', 'Rose Plumer', 'Cecil Reynolds', 'Ellinor Vanderveer']","야심에 가득 찬 젊은 과학자 ‘프랑켄슈타인’은 곱추인 조수 ‘프리츠’와 함께 시체의 신체부위들을 절단해 괴물 인조인간을 만드는 실험을 계속한다. 한편, 프랑켄슈타인의 약혼녀인 ‘엘리자베스’는 약혼자가 시계탑 안에서 하고 있는 이상한 실험에 대해 불안해 하다, 실험을 막기 위해 의대 교수인 발드만 박사와 함께 시계탑을 찾아간다. 하지만 그녀가 도착했을 때, 번개를 맞은 괴물이 생명을 얻게 된다. 약혼녀의 설득에, 프랑켄슈타인은 괴물을 시계탑 속에 가두고, 약혼녀에게 돌아간다. 한편, 범죄자의 뇌가 이식된 괴물은 증오와 살인 욕구에 불타올라 조수인 프리츠를 살해한 후 마을을 찾아간다. 괴물의 위협이 커져가자 마을 사람들과 ‘프랑켄슈타인’은 괴물을 쫓기 시작한다. 그리고 ‘프랑켄슈타인’은 괴물과 낡은 풍차에서 마주친다. 두 사람의 대결에서 ‘프랑켄슈타인’은 간신히 목숨을 건지지만, 마을 사람들은 프랑켄슈타인이 갇힌 풍차에 불을 지른다",https://images.justwatch.com/poster/60018720/s276/frankenstein.webp,
킹 뉴욕,King of New York,(1990),"[('wavve', ['정액제', 'HD'])]",,"['75%', '7.0 (35k)']","['스릴러 , 범죄']",['1시간 43분'],['Abel Ferrara'],"['Christopher Walken', 'David Caruso', 'Laurence Fishburne', 'Victor Argo', 'Wesley Snipes', 'Janet Julian', 'Joey Chin', 'Giancarlo Esposito', 'Paul Calderon', 'Steve Buscemi', 'Theresa Randle', 'Leonard L. Thomas', 'Roger Guenveur Smith', 'Carrie Nygren', 'Ernest Abuba', 'Ariane', 'Harold Perrineau', 'Gerard Murphy', 'Vanessa Angel', 'Frank Aquilino', 'David Batiste', 'Frankie Cee', 'Lia Chang', 'Erica Gimpel', 'Frank Gio', 'Lance Guecia', 'Michael Guess', 'Jay Julien', 'Robert LaSardo', 'Phoebe Legere', 'James Lorinz', 'Gary Landon Mills', 'Marty Pesci', 'Peter Richardson', 'Pete Hamill', 'Sari Chang', 'Carlos Lauchu', 'Mark Monto', 'John Reidy', 'Dhonna Harris Goodale', 'Phil Nelson', 'Frank Adonis', 'Alonna Shaw']","뉴욕 암흑가의 보스 프랭크(크리스토퍼 월켄)가 집행 유예로 풀려나면서 뉴욕의 뒷골목은 새로운 전쟁이 시작된다. 그들 사업의 커다란 자금줄이자 그들의 젖줄인 마약거래는 바로 그들 자신의 생활이기에 누구도 그것의 거래에 대한 죄책감이나 공포를 가지고 있지 않다. 다만 그들에게는 생활이 있을 따름이다. 자유와 속박받지 않는 신선한 바람은 뭔가 새로운 각오를 다지게 하고 지금껏 사장되어 버리고 인식되지 않던 뒷거리의 왕으로서 주어진 많은 기대를 마음껏 느끼면서 그는 자신을 배반하고 많은 시간을 고통의 도가니로 몰아넣은 배신자들을 찾아 나서 암흑가는 프랭크의 인간 사냥에 대해 술렁이기 시작한다. 그는 잃어버린 시간 동안에 자신이 벌어야 했던 돈을 벌기위해 뒷거래에서 행하는 모든 거래에 자신이 관여하기를 원하고 이에 불응하는 자는 마땅히 그에 상응하는 대가를 지불해 주었다. 이에 뉴욕의 암흑가는 서서히 정리되고 정말 쓰레기 같은 인간들은 하나 둘씩 사라져 갔다. 뉴욕 경찰은 그를 잡기 위한 중기 소집에 혈안이 되어 있고, 그는 이들을 피해 마음껏 자신의 사업을 확대시켜 나간다. 이제 경찰과 프랭크는 막다는 골목에 서서 둘중 누군가 하나는 스스로 그들의 자유를 포기해야 되게 되었다. 이에 그는 자신은 응당 사라져야 할 사람을 사라지게 했을 뿐이라고 자신에게 주어진 죄목은 어떠한 것도 받아들일 수 없다고 하면서 경찰을 전철안에서 쏘아 버리고 그는 뉴욕의 시내 한복판에서 경찰과 복잡하게 이어지는 차들에 의해 포위되면서 이 영화는 끝이 난다.",https://images.justwatch.com/poster/220896342/s276/king-nyuyog.webp,"[('wavve', ['₩1,200', 'HD'])]"
하이 눈,High Noon,(1952),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩3,000', 'HD'])]","['85%', '8.0 (101k)']","['서부 , 스릴러 , 드라마 , 액션']",['1시간 25분'],['Fred Zinnemann'],"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Jack Elam', 'John Doucette', 'Ted Stanhope', 'Lee Aaker', 'Guy Beach', 'Larry J. Blake', 'John Breen', 'Tex Driscoll', 'Herschel Graham', 'Paul Kruger', ""William H. O'Brien"", 'Roy Bucko', 'Russell Custer', 'Nora Bush', 'Ann Kunde', 'Ben Corbett', 'Rudy Germane', 'Chuck Hayward', 'Michael Jeffers', 'Kansas Moehring', 'Jack Montgomery', 'Buddy Roosevelt', 'Allen D. Sewall', 'Howland Chamberlain', 'Virginia Christine', 'Cliff Clark', 'Paul Dubov', 'Dick Elliott', 'Virginia Farmer', 'Tim Graham', 'Tom Greenway', 'Harry Harvey', 'Nolan Leary', 'Tom London', 'Merrill McCormick', 'William Newell', 'James Millican', 'William Phillips', 'Lucien Prival', 'Ralph Reed', 'Charles Soldani', 'Slim Talbot']","1870년 서부의 작은 마을 헤이드리빌의 어느 일요일 아침, 세 명의 무법자들이 마을 역에서 서성거리며 시계를 본다. 이들의 보스 프랭크 밀러(이안 맥도날드 분)가 탄 기차가 12시 정오에 도착하는 것을 기다리고 있는 것이다. 공교롭게 이날은 헤이들리빌 마을의 보안관 윌 케인(게리 쿠퍼 분)은 이제 5년 임기의 보안관직을 은퇴하여 아름다운 신부 에이미(그레이스 켈리 분)와 결혼식을 올리고 마을을 떠나려하는 날인데, 바로 5년 전 그에게 체포되어 투옥된 밀러가 복수를 하러오고 있는 중인 것. 이미 보안관직을 사임한 윌에게 더 이상의 책임은 없지만, 그는 밀러가 마을에 큰 피해를 줄 것을 알기에 고뇌에 빠지는데.",https://images.justwatch.com/poster/181480861/s276/hai-nun.webp,
뉘른베르크의 재판,Judgment at Nuremberg,(1961),,"[('Naver Store', ['₩500', 'HD'])]","['88%', '8.2 (74k)']","['드라마 , 전쟁 , Made in Europe']",['2시간 59분'],['Stanley Kramer'],"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich', 'Maximilian Schell', 'Judy Garland', 'Montgomery Clift', 'William Shatner', 'Werner Klemperer', 'Kenneth MacKenna', 'Torben Meyer', 'Joseph Bernard', 'Alan Baxter', 'Edward Binns', 'Virginia Christine', 'Otto Waldis', 'Karl Swenson', 'Martin Brandt', 'Ray Teal', 'John Wengraf', 'Ben Wright', 'Howard Caine', 'Olga Fabian', 'Paul Busch', 'Bernard Kates', 'Bess Flowers', 'Frank Baker', 'Brandon Beach', 'Joseph Crehan', 'Sayre Dearing', 'Sam Harris', 'Shep Houghton', 'Reed Howes', 'William Meader', 'Colin Kenny', 'George Nardelli', 'Waclaw Rekwart', 'Jack Stoney', 'Oscar Beregi Jr.', 'Norbert Schiller', 'Chet Brandenburg', 'Herman Hack', 'Sheila Bromley', 'Harold Miller', 'Hans Moebus', 'Ed Nelson', ""William H. O'Brien"", 'Rudy Solari', 'Bert Stevens', 'Hal Taggart', 'Jana Taylor', 'Ralph Moratz', 'Tony Regan', 'Dick Cherney', 'Norman Stevans']",뉘른베르크 전범재판은 2차세계대전에서 승리한 연합국이 주체가 되어 패전국 독일이 제3제국의 이름으로 저지른 반인도적 행위에 대해 개인적 책임을 추궁한 역사적 사건이다. 2차대전을 일으킨 독일이 연합군의 힘에 밀려 참패하자 연합군은 전범들을 재판하게 된다. 이영화에서 다루는 피고는 전쟁당시 재판관들이다. 미국측 재판관 헤이우드는 독일군 고위층 부부가 살던 대 저택에 머물게 되는데 이집의 전 여주인을 알게 된다. 그리고 전쟁후 남편이 독일군이었다는 이유로 미국인에 살해당한 이 부인을 만나면서부터 독일군들이 인도주의적 정신보다는 나라에 대한 충성심을 더 강요받았다는 사실을 깨닫게 된다. 재판이 진행되는 동안 시종일관 침묵으로 일관하던 피고 언스트 야닝은 나중에야 자신과 동료들의 부정 부패를 고발하고 그것을 알고도 침묵했던 자신이 가장 사악한 사람이라며 자신의 잘못을 고백한다. 헤이우드는 전쟁이라는 상황과 비인도적인 판결을 내릴 수밖에 없었던 독일 재판관들의 입장을 고뇌하다 사형대신 종신형을 선고하는데...,https://images.justwatch.com/poster/9067656/s276/judgment-at-nuremberg.webp,
써스페리아 2,Profondo rosso,(1975),"[('wavve', ['정액제', 'HD'])]",,"['83%', '7.6 (35k)']","['스릴러 , 공포 , Made in Europe']",['2시간 7분'],['Dario Argento'],"['David Hemmings', 'Daria Nicolodi', 'Gabriele Lavia', 'Macha Méril', 'Eros Pagni', 'Giuliana Calandra', 'Piero Mazzinghi', 'Glauco Mauri', 'Clara Calamai', 'Aldo Bonamano', 'Liana Del Balzo', 'Vittorio Fanfoni', 'Dante Fioretti', 'Geraldine Hooper', 'Jacopo Mariani', 'Furio Meniconi', 'Fulvio Mingozzi', 'Lorenzo Piani', 'Salvatore Puntillo', 'Piero Vida', 'Nicoletta Elmi', 'Dario Argento', 'Salvatore Baccaro', 'Omero Capanna', 'Bruno Di Luia', 'Attilio Dottesio', 'Tom Felleghy', 'Glauco Onorato', 'Marilù Tolo', 'Franco Vaccaro', 'Gianni Di Segni']",다른 사람들의 마음을 읽어낼 줄 아는 한 영매가 사람들이 많은 광장에서 살인자의 생각을 읽어낸다. 그러나 영매는 곧 살해되고 만다. 영국인 재즈 피아니스트 마크 데일리(데이빗 헤밍스)는 그 살인현장을 목격하게 되고 신문기자 자나 브레지(다리아 니콜로디)와 함께 사건의 비밀을 캐기 시작한다. 새로운 살인자들로부터 사건을 풀어내는 실마리를 얻어나가는 동안에도 사건의 열쇠를 쥔 사람들이 한 명씩 살해당한다. 살인자가 그 실마리에 따라 새로운 살인을 저지르는 것이다. 마커스는 살인자가 자기 주위에 있음을 느끼고 주변을 조사해 나가는데...,https://images.justwatch.com/poster/181908820/s276/sseoseuperia-2.webp,"[('wavve', ['₩1,500', 'HD'])]"
제인의 말로,What Ever Happened to Baby Jane?,(1962),,"[('Naver Store', ['₩500', 'HD'])]","['87%', '8.1 (53k)']","['스릴러 , 드라마 , 공포']",['2시간 14분'],['Robert Aldrich'],"['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy', 'Julie Allred', 'Anne Barton', 'Marjorie Bennett', 'Bert Freed', 'Anna Lee', 'Maidie Norman', 'Dave Willock', 'William Aldrich', 'Ernest Anderson', 'Russ Conway', 'Maxine Cooper', 'Robert Cornthwaite', 'Michael Fox', 'Gina Gillespie', 'Barbara Merrill', 'Don Ross', 'James Seay', 'John Shay', 'Jon Shepodd', 'Peter Virgo', 'Bobs Watson', 'Murray Alper', 'Steve Condit', 'Dorothea Lord', 'Norman Papson', 'Mike Ragan', 'Sammy Shack', 'Michael St. Angel', 'Jack Tornek', 'Ralph Volkie', 'Robert Perry', 'Bill Walker', 'Ralph Hart']","베이비 제인 허드슨은 어린 시절 보드빌 쇼의 유명한 스타였지만 성장한 후에는 배우로서 재능을 인정받지 못한다. 대배우로 성공한 언니 블랜치의 그늘 아래서 술과 향락으로 매일을 보내고 있을 뿐이다. 그러던 어느 날 술 취한 제인과 블랜치가 함께 자동차에 타고 있다 사고가 난다. 블랜치는 다리를 다쳐 반신불수가 되고, 제인은 불만과 질시 속에서도 어쩔 수 없이 언니를 돌보며 살게 된다. 세월이 흐른 후, 블랜치는 알콜중독으로 편집증 상태가 된 제인을 병원으로 보내려 하는데, 이 사실을 안 제인은 온갖 수단으로 블랜치를 학대한다. 제인은 헌신적인 가정부 엘비라를 우발적으로 죽이게 되자 어찌할 바를 모르고 혼란에 빠진다.",https://images.justwatch.com/poster/238965260/s276/jeinyi-malro.webp,
야곱의 사다리,Jacob's Ladder,(1990),"[('wavve', ['정액제', 'HD'])]","[('Naver Store', ['₩500'])]","['81%', '7.5 (103k)']","['공포 , 드라마']",['1시간 53분'],['Adrian Lyne'],"['Tim Robbins', 'Elizabeth Peña', 'Danny Aiello', 'Matt Craven', 'Pruitt Taylor Vince', 'Jason Alexander', 'Patricia Kalember', 'Eriq La Salle', 'Ving Rhames', 'Brian Tarantina', 'Brent Hinkley', 'S. Epatha Merkerson', 'Suzanne Shepherd', 'Doug Barron', 'Anthony Alessandro', 'Macaulay Culkin', 'Lewis Black', 'Kyle Gass', 'Jaime Perry', 'Sam Coppola', ""Evan O'Meara"", 'Gloria Irizarry', 'Raymond Anthony Thomas', 'Christopher John Fields', 'Michael Tomlinson', 'Antonia Rey', 'John Capodice', 'Bellina Logan', 'Scott Cohen', 'Davidson Thomson', 'Bryan Larkin', 'Thomas A. Carlin', 'Carol Schneider', 'Becky Ann Baker', 'Diane Kagan', 'Billie Neal', 'Dennis Rubin Green', 'Byron Minns', 'Stephanie Berry', 'Barbara Gruen', 'John Louis Fischer', 'Perry Lang']","베트남의 한 전적지. 전우들끼리 농담을 주고 받는데서부터 시작된다. 갑자기 공격 명령이 떨어지고 병사들은 갑작스런 전투에 우왕좌왕한다. 전투 중에 제이콥(팀 로빈스 분)은 칼에 찔려 정신을 잃고만다. 20년 후 뉴욕, 제이콥은 지하철 안에서 눈을 뜬다. 텅빈 지하철 속을 헤매고 다니지만 승객들은 그에게 눈길조차 돌리지 않는다. 열차에서 내리려는 그의 눈 앞에 한 여인에게 달려있는 황금빛 꼬리가 발견되고 자신을 둘러싼 괴물의 존재를 인식하기 시작한다. 지하철에서 겪은 공포의 순간 이후 베트남에서의 악몽은 현실의 삶을 지배한다. 아들의 죽음과 전우들의 환상 등이 제이콥의 정신세계를 지배하고 끔찍한 강박관념에 시달린다. 자신을 짓누르는 상화에서 벗어나기 위해 과거의 전우들을 찾아 나서지만 그들의 갑작스런 사고만을 알게 될 뿐이다. 심상치 않은 징후들 속에서 제이콥은 자신과 베트남 참전 당시의 부대에 어떤 거대한 음모가 도사리고 있음을 느끼고 진실을 찾아 나선다. 그러나 곳곳에서 미스테리만이 발견되고 괴물의 존재, 악령의 환영들이 그를 둘러싼다. 과연 제이콥을 둘러싼 미 국방부의 비밀과 그의 삶과 죽음은 어떻게 연관된 것일까?",https://images.justwatch.com/poster/241404410/s276/yagobyi-sadari-1990.webp,"[('wavve', ['₩1,500', 'HD'])]"
다크 크리스탈,The Dark Crystal,(1982),,"[('Naver Store', ['₩5,000', 'HD'])]","['79%', '7.2 (64k)']","['판타지 , 가족']",['1시간 33분'],"['Frank Oz , Jim Henson']","['Jim Henson', 'Kathryn Mullen', 'Frank Oz', 'Dave Goelz', 'Steve Whitmire', 'Louise Gold', 'Stephen Garlick', 'Lisa Maxwell', 'Billie Whitelaw', 'Percy Edwards', 'Barry Dennen', 'Deep Roy', 'Kiran Shah', 'Jack Purvis', 'Bob Payne', 'Michael Kilgarriff', 'John Baddeley', 'David Buck', 'Charles Collingwood', 'Sean Barrett', 'Miki Iveria', 'Patrick Monckton', 'Susan Westerby', ""Joseph O'Conor"", 'Thick Wilson']","지구가 아닌 또 다른 행성을 배경으로, 영적인 힘을 지닌 다크 크리스탈을 지키기 위해 착한 집단인 미스틱 사이에서 성장한 고아 젠이 나선다. 행성을 지배하고 있던 새 형상의 괴물이 젠을 처단하려고 하는데......",https://images.justwatch.com/poster/215737208/s276/the-dark-crystal.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
폴리스 스토리,警察故事,(1985),,"[('Naver Store', ['₩1,200', 'HD'])]","['83%', '7.6 (33k)']","['스릴러 , 액션 , 코미디 , 범죄']",['1시간 41분'],['Jackie Chan'],"['Jackie Chan', 'Brigitte Lin', 'Maggie Cheung', 'Bill Tung', 'Chor Yuen', 'Charlie Cho', 'Mars', 'Lam Kwok-Hung', 'David Lau', 'Kam Hing-Yin', 'Wan Faat', 'Fung Hak-On', 'Kent Tong', 'Pang Hiu-Sang']",홍콩 경찰청의 특수기동대 소속 진가구 순경(성룡)은 낙천적인 성격과 뛰어난 능력으로 모든 사람들로부터 인기가 높다. 특수 기동대 훈련을 마치고 본서로 돌아온 진가구는 동료들과 함께 악명 높은 마약밀매 조직인 구탐파 일당을 일망 타진하는 작전에 투입되어 범죄자들과 일대 격전을 벌인 끝에 두목인 구탐을 혼자서 체포하여 일약 경찰의 영웅이 된다. 서장은 부족한 증거를 보완하기 위해 구탐의 여비서인 셀리나를 무혐의 처리해 주는 대신 법정에서 구탐의 혐의를 입증해 줄 수 있는 증언을 해 줄 것을 요청하고 구탐의 부하들이 셀리나를 해치지 못하도록 재판이 열릴 때까지 보호하는 임무를 진가구에게 맡긴다. 그러나 증언을 탐탁찮게 여기는 셀리나는 진가구의 녹음기에 장난을 쳐놓은 뒤 달아나 버리고 셀리나 없이 재판정에 나간 진가구는 증언대에서 대망신만 당한다. 그 일로 구탐은 풀려나고 진가구는 징계를 받는다. 그러나 진가구는 이에 굴하지 않고 셀리나의 행방을 찾지만 구탐의 부하들의 함정에 빠져 셀리나를 구해내는 데엔 성공하나 대신 구탐의 끄나풀 노릇을 한 모순경을 죽인 살인범으로 누명을 쓰고 쫓기게 된다. 그러나 진가구는 포기하지 않고 구탐의 주위를 맴돌다가 자료를 ?내려던 셀리나를 잡으러 온 그들의 일당과 대격투를 벌여 마침내 구탐과 그 일당을 체포하고 셀리나의 도움으로 누명도 멋고 구탐의 범죄를 입증할 증거까지 함께 확보한다.,https://images.justwatch.com/poster/22954651/s276/jing-cha-gu-shi.webp,"[('wavve', ['₩1,200', 'HD'])]"
007 나를 사랑한 스파이,The Spy Who Loved Me,(1977),"[('wavve', ['정액제', 'HD'])]",,"['77%', '7.1 (104k)']","['스릴러 , 액션']",['2시간 5분'],['Lewis Gilbert'],"['Roger Moore', 'Barbara Bach', 'Curd Jürgens', 'Richard Kiel', 'Caroline Munro', 'Walter Gotell', 'Geoffrey Keen', 'Bernard Lee', 'George Baker', 'Michael Billington', 'Olga Bisera', 'Desmond Llewelyn', 'Edward de Souza', 'Vernon Dobtcheff', 'Valerie Leon', 'Lois Maxwell', 'Sydney Tafler', 'Nadim Sawalha', 'Sue Vanner', 'Eva Rueber-Staier', 'Robert Brown', 'Marilyn Galsworthy', 'Milton Reid', 'Cyril Shaps', 'Milo Sperber', 'Albert Moses', 'Rafiq Anwar', 'Felicity York', 'Dawn Rodrigues', 'Anika Pavel', 'Jill Goodall', 'Shane Rimmer', 'Bob Sherman', 'Doyle Richmond', 'Peter Whitman', 'Ray Hassett', 'Vincent Marzello', 'Nicholas Campbell', 'Ray Evans', 'Anthony Forrest', 'Garrick Hagon', 'Ray Jewers', 'George Mallaby', 'Christopher Muncke', 'Anthony Pullen Shaw', 'Don Staton', 'Stephen Temperley', 'Bryan Marshall', 'Michael Howarth', 'Kim Fortune', 'Barry Andrews', 'Kevin McNally', 'Jeremy Bulloch', 'Sean Bury', 'John Sarbutt', 'David Auker', 'Dennis Blanch', 'Keith Buckley', 'Nick Ellsworth', 'Keith Morris', 'John Salthouse', 'George Roubicek', 'Lenny Rabin', 'Irvin Allen', 'Yashaw Adem', 'John Truscott', 'Robert Sheedy', 'Eric Stine', 'Murray Salem']",해저 500피트에 있던 소련의 핵잠수함 포템킨호가 사라진다. KGB는 잠수함이 사라진 이유를 밝히기 위해 첩보원 트리플 X를 파견한다. 한편 영국 정보부에도 비상이 걸린다. 16개의 핵탄두가 실린 핵잠수함 1척이 사라진 것. 모처럼 오스트리아에서 휴가를 즐기던 제임스 본드는 긴급 지시를 받고 본부로 돌아온다. 사건조사를 위해 이집트로 간 본드. 영국은 자신들과 마찬가지 상황인 KGB와 협력해 사라진 핵잠수함을 찾기로 합의한다. 무지막지한 킬러 죠스로부터 빼앗아 온 필름을 조사한 그들은 칼 스트롬버그라는 인물에 접근하게 되는데...,https://images.justwatch.com/poster/209737464/s276/007-nareul-saranghan-seupai.webp,
의혹의 그림자,Shadow of a Doubt,(1943),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,000'])]","['83%', '7.8 (62k)']","['드라마 , 스릴러 , Made in Europe']",['1시간 48분'],['Alfred Hitchcock'],"['Teresa Wright', 'Joseph Cotten', 'Macdonald Carey', 'Henry Travers', 'Patricia Collinge', 'Hume Cronyn', 'Wallace Ford', 'Edna May Wonacott', 'Charles Bates', 'Irving Bacon', 'Clarence Muse', 'Janet Shaw', 'Estelle Jewell', 'Virginia Brissac', 'Frances Carson', 'Earle S. Dewey', 'Sarah Edwards', 'Edward Fielding', 'Vaughan Glaser', 'Alfred Hitchcock', 'Shep Houghton', 'Ruth Lee', 'Eily Malyon', 'John McGuire', 'Shirley Mills', 'Constance Purdy', 'Isabel Randolph', 'Grandon Rhodes', 'Byron Shores', 'Edwin Stanley', 'Minerva Urecal']","뉴튼가의 장녀 찰리는 평화롭다 못해 따분하기까지 한 삶에 싫증을 느낀다. 흥미로운 일이 생기길 바라는 찰리는 자신과 같은 이름의 삼촌을 만나고 싶어하는데, 어느 날 정말로 찰리 삼촌이 찾아온다. 그러나 곧 찰리는 삼촌이 연쇄살인 용의자임을 알게 된다. 히치콕의 걸작 중 하나로 감독 자신이 가장 좋아하는 작품으로 꼽았다. 두 찰리를 통해 인간의 양면성과 인간 내면에서의 팽팽한 선과 악의 대립을 보여준다. 치밀하게 연출된, 점차 심장을 조여오는 긴장감과 공포는 단연 최고다.",https://images.justwatch.com/poster/61059206/s276/shadow-of-a-doubt.webp,
간디,Gandhi,(1982),"[('Netflix', ['정액제', 'HD'])]","[('Naver Store', ['₩5,000', 'HD'])]","['84%', '8.0 (224k)']","['드라마 , 역사']",['3시간 11분'],['Richard Attenborough'],"['Ben Kingsley', 'Candice Bergen', 'Edward Fox', 'John Gielgud', 'Trevor Howard', 'John Mills', 'Martin Sheen', 'Ian Charleson', 'Athol Fugard', 'Günther Maria Halmer', 'Saeed Jaffrey', 'Geraldine James', 'Alyque Padamsee', 'Amrish Puri', 'Roshan Seth', 'Rohini Hattangadi', 'Ian Bannen', 'Michael Bryant', 'John Clements', 'Richard Griffiths', 'Nigel Hawthorne', 'Bernard Hepton', 'Michael Hordern', 'Shreeram Lagoo', 'Virendra Razdan', 'Richard Vernon', 'Harsh Nayyar', 'Prabhakar Patankar', 'Vijay Kashyap', 'Nigam Prakash', 'Supriya Pathak', 'Neena Gupta', 'Shane Rimmer', 'Peter Harlowe', 'Anang Desai', 'Winston Ntshona', 'Peter Cartwright', 'Marius Weyers', 'Richard Mayes', 'Alok Nath', 'Dean Gasper', 'Ken Hutchison', 'Norman Chancer', 'Gulshan Kapoor', 'Charu Bala Chokshi', 'Raj Chaturvedi', 'Avpar Jhita', 'Anthony Sagger', 'Om Puri', 'David Gant', 'Daniel Day-Lewis', 'Ray Burdis', 'Daniel Peacock', 'Avis Bunnage', 'Caroline Hutchison', 'Mohan Agashe', 'Sudhanshu Mishra', 'Dina Nath', 'John Savident', 'John Patrick', 'Michael Godley', 'Stewart Harwood', 'Stanley McGeagh', 'Christopher Good', 'David Markham', 'Jyoti Sarup', 'John Naylor', 'Wilson George', 'Hanshu Mehta', 'Sudarshan Sethi', 'Sunila Pradhan', 'Moti Makan', 'Jalal Agha', 'Rupert Frazer', 'Manohar Pitale', 'Homi Daruvala', 'K.K. Raina', 'Vivek Swaroop', 'Raja Biswas', 'Dominic Guard', 'Bernard Hill', 'Rama Kant Jha', 'Nana Palsikar', 'Alpna Gupta', 'Chandrakant Thakkar', 'John Quentin', 'Graham Seed', 'Keith Drinkel', 'Bob Barbenia', 'Gerald Sim', 'Colin Farrell', 'Sanjeev Puri', 'Gareth Forwood', 'Vijay Crishna', 'Sankalp Dubey', 'James Cossins', 'Gurcharan Singh', 'John Vine', 'Geoffrey Chater', 'Ernest Clark', 'Habib Tanvir', 'Pankaj Mohan', 'Subhash Gupta', 'Aadil', 'Rajeshwar Nath', 'S.S. Thakur', 'Rahul Gupta', 'Barry John', 'Brian Oulton', 'James Snell', 'John Boxer', 'Gerard Norman', 'Bernard Horsfall', 'Richard Leech', 'Pankaj Kapur', 'Tarla Mehta', 'David Sibley', 'Dalip Tahil', 'Stanley Lebor', 'Terrence Hardiman', 'Monica Gupta', 'Jon Croft', 'William Hoyland', 'John Ratzenberger', 'Jack McKenzie', 'Tom Alter', 'Jane Myerson', 'Roop Kumar Razdan', 'Bani Sharad Joshi', 'Vagish Kumar Singh', 'Dilsher Singh', 'Sudhir Dalvi', 'Tilak Raj', 'Irpinder Puri', 'Pren Kapoor', 'Vinay Apte', 'Aswini Kumar', 'Avinash Dogra', 'Shreedhar Joshi', 'Suhas Palshikar', 'Karkirat Singh', 'Shekhar Chatterjee', 'Amarjeet', 'Pratap Desai', 'Bhatawadekar Prakash', 'Sunil Shende', 'Rovil Sinha', 'Derek Lyons', 'Fred Wood']","영국에 유학해 변호사 자격을 딴 간디(벤 킹슬리)는 1893년 남아프리카에 가 소송사건을 맡는다. 간디는 그 곳에서 유색인종에 대한 차별대우를 받게 된다. 이를 계기로 그는 남아프리카의 인도 거류민을 돕기 위한 다양한 활동을 시작한다. 이후 1915년, 간디는 인도로 돌아와 인도독립을 위한 노력을 하게 된다. 그는 비폭력운동을 주도하면서 수차례 투옥되기도 한다. 인도는 마침내 1947년 8월 영국으로부터 독립을 이룬다. 그러나 힌두교와 이슬람교의 종교적 대립으로 인해 인도와 파키스탄으로 나뉘어 독립을 하게 된다. 이후에도 종교분쟁을 해결하기 위해 노력했던 간디는 1948년 1월 과격파 힌두교도가 쏜 총탄에 암살당한다.",https://images.justwatch.com/poster/9056244/s276/gandhi.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
